open_margin_db,close_margin_db,release_ms,hold_ms,noise_ema_tc_closed,pass_rate,passed,failed,mean_missed_speech,mean_false_open,mean_start_delay_ms,mean_early_close_ms,total_scenarios
6.0,2.0,300.0,250.0,1.0,0.5,15,15,0.2266,1.2466,42.08,593.71,30
8.0,6.0,800.0,100.0,0.5,0.5,15,15,0.2275,1.7221,24.82,123.33,30
8.0,6.0,800.0,250.0,0.5,0.5,15,15,0.2275,1.7221,24.82,123.33,30
8.0,6.0,800.0,400.0,0.5,0.5,15,15,0.2275,1.7221,24.82,123.33,30
6.0,6.0,500.0,100.0,1.0,0.5,15,15,0.2306,1.37,42.53,592.66,30
6.0,6.0,500.0,250.0,1.0,0.5,15,15,0.2306,1.37,42.53,592.66,30
6.0,6.0,500.0,400.0,1.0,0.5,15,15,0.2306,1.37,42.53,592.66,30
8.0,8.0,800.0,100.0,1.0,0.5,15,15,0.2514,1.4881,26.11,421.32,30
8.0,8.0,800.0,250.0,1.0,0.5,15,15,0.2514,1.4881,26.11,421.32,30
8.0,8.0,800.0,400.0,1.0,0.5,15,15,0.2514,1.4881,26.11,421.32,30
6.0,6.0,150.0,400.0,1.0,0.5,15,15,0.2646,1.1912,197.79,562.46,30
6.0,6.0,300.0,400.0,1.0,0.5,15,15,0.2646,1.1912,197.79,562.46,30
8.0,6.0,500.0,100.0,1.0,0.5,15,15,0.2954,1.1728,25.44,643.32,30
8.0,6.0,500.0,250.0,1.0,0.5,15,15,0.2954,1.1728,25.44,643.32,30
8.0,6.0,500.0,400.0,1.0,0.5,15,15,0.2954,1.1728,25.44,643.32,30
8.0,6.0,150.0,400.0,1.0,0.5,15,15,0.3126,1.0186,202.46,562.46,30
8.0,6.0,300.0,400.0,1.0,0.5,15,15,0.3126,1.0186,202.46,562.46,30
6.0,8.0,150.0,400.0,0.5,0.5,15,15,0.3466,1.3266,195.82,654.46,30
6.0,8.0,300.0,400.0,0.5,0.5,15,15,0.3466,1.3266,195.82,654.46,30
8.0,6.0,150.0,400.0,0.5,0.5,15,15,0.3492,1.2292,178.58,387.03,30
8.0,6.0,300.0,400.0,0.5,0.5,15,15,0.3492,1.2292,178.58,387.03,30
10.0,2.0,150.0,400.0,1.0,0.5,15,15,0.4015,0.9315,28.85,366.48,30
10.0,2.0,300.0,400.0,1.0,0.5,15,15,0.4015,0.9315,28.85,366.48,30
12.0,6.0,800.0,100.0,1.0,0.5,15,15,0.4033,1.1713,42.18,139.15,30
12.0,6.0,800.0,250.0,1.0,0.5,15,15,0.4033,1.1713,42.18,139.15,30
12.0,6.0,800.0,400.0,1.0,0.5,15,15,0.4033,1.1713,42.18,139.15,30
10.0,2.0,150.0,400.0,0.5,0.5,15,15,0.4056,1.1376,32.23,367.15,30
10.0,2.0,300.0,400.0,0.5,0.5,15,15,0.4056,1.1376,32.23,367.15,30
8.0,8.0,500.0,100.0,0.5,0.5,15,15,0.4372,1.2966,213.12,520.56,30
8.0,8.0,500.0,250.0,0.5,0.5,15,15,0.4372,1.2966,213.12,520.56,30
8.0,8.0,500.0,400.0,0.5,0.5,15,15,0.4372,1.2966,213.12,520.56,30
8.0,8.0,150.0,400.0,0.5,0.5,15,15,0.4732,1.1438,131.92,689.03,30
8.0,8.0,300.0,400.0,0.5,0.5,15,15,0.4732,1.1438,131.92,689.03,30
10.0,4.0,150.0,400.0,1.0,0.5,15,15,0.4877,0.885,183.3,304.14,30
10.0,4.0,300.0,400.0,1.0,0.5,15,15,0.4877,0.885,183.3,304.14,30
10.0,4.0,150.0,400.0,0.5,0.5,15,15,0.4947,1.012,186.68,290.48,30
10.0,4.0,300.0,400.0,0.5,0.5,15,15,0.4947,1.012,186.68,290.48,30
12.0,2.0,150.0,400.0,1.0,0.5,15,15,0.4955,0.8662,42.18,367.15,30
12.0,2.0,300.0,400.0,1.0,0.5,15,15,0.4955,0.8662,42.18,367.15,30
8.0,8.0,150.0,400.0,0.3,0.5,15,15,0.5198,1.1572,245.92,443.03,30
8.0,8.0,300.0,400.0,0.3,0.5,15,15,0.5198,1.1572,245.92,443.03,30
12.0,8.0,800.0,100.0,1.0,0.5,15,15,0.5893,1.1373,42.18,456.48,30
12.0,8.0,800.0,250.0,1.0,0.5,15,15,0.5893,1.1373,42.18,456.48,30
12.0,8.0,800.0,400.0,1.0,0.5,15,15,0.5893,1.1373,42.18,456.48,30
12.0,2.0,150.0,400.0,0.5,0.5,15,15,0.6164,0.9197,55.75,367.82,30
12.0,2.0,300.0,400.0,0.5,0.5,15,15,0.6164,0.9197,55.75,367.82,30
12.0,6.0,500.0,100.0,1.0,0.5,15,15,0.626,0.8573,42.18,559.82,30
12.0,6.0,500.0,250.0,1.0,0.5,15,15,0.626,0.8573,42.18,559.82,30
12.0,6.0,500.0,400.0,1.0,0.5,15,15,0.626,0.8573,42.18,559.82,30
12.0,4.0,150.0,400.0,1.0,0.5,15,15,0.627,0.811,223.96,305.48,30
12.0,4.0,300.0,400.0,1.0,0.5,15,15,0.627,0.811,223.96,305.48,30
12.0,2.0,150.0,400.0,0.3,0.5,15,15,0.8164,1.0404,158.7,196.4,30
12.0,2.0,300.0,400.0,0.3,0.5,15,15,0.8164,1.0404,158.7,196.4,30
12.0,4.0,150.0,400.0,0.5,0.5,15,15,0.8182,0.8636,210.19,376.48,30
12.0,4.0,300.0,400.0,0.5,0.5,15,15,0.8182,0.8636,210.19,376.48,30
10.0,4.0,150.0,400.0,0.1,0.5,15,15,0.8259,1.0672,313.94,87.7,30
10.0,4.0,300.0,400.0,0.1,0.5,15,15,0.8259,1.0672,313.94,87.7,30
12.0,8.0,150.0,400.0,1.0,0.5,15,15,0.8847,0.7034,223.96,681.9,30
12.0,8.0,300.0,400.0,1.0,0.5,15,15,0.8847,0.7034,223.96,681.9,30
12.0,4.0,150.0,400.0,0.3,0.5,15,15,0.9104,0.9511,313.15,87.06,30
12.0,4.0,300.0,400.0,0.3,0.5,15,15,0.9104,0.9511,313.15,87.06,30
14.0,2.0,150.0,400.0,0.5,0.5,15,15,1.0653,0.7787,191.61,87.06,30
14.0,2.0,300.0,400.0,0.5,0.5,15,15,1.0653,0.7787,191.61,87.06,30
14.0,4.0,150.0,400.0,0.5,0.5,15,15,1.0653,0.7233,191.61,87.06,30
14.0,4.0,300.0,400.0,0.5,0.5,15,15,1.0653,0.7233,191.61,87.06,30
6.0,2.0,800.0,100.0,1.0,0.4667,14,16,0.1326,2.1486,17.41,115.16,30
6.0,2.0,800.0,250.0,1.0,0.4667,14,16,0.1326,2.1486,17.41,115.16,30
6.0,2.0,800.0,400.0,1.0,0.4667,14,16,0.1326,2.1486,17.41,115.16,30
6.0,4.0,800.0,100.0,0.3,0.4667,14,16,0.1412,2.1625,16.72,152.5,30
6.0,4.0,800.0,250.0,0.3,0.4667,14,16,0.1412,2.1625,16.72,152.5,30
6.0,4.0,800.0,400.0,0.3,0.4667,14,16,0.1412,2.1625,16.72,152.5,30
6.0,4.0,800.0,100.0,0.5,0.4667,14,16,0.1419,2.0785,17.38,152.5,30
6.0,4.0,800.0,250.0,0.5,0.4667,14,16,0.1419,2.0785,17.38,152.5,30
6.0,4.0,800.0,400.0,0.5,0.4667,14,16,0.1419,2.0785,17.38,152.5,30
6.0,6.0,800.0,100.0,0.5,0.4667,14,16,0.1581,1.9455,17.38,168.76,30
6.0,6.0,800.0,250.0,0.5,0.4667,14,16,0.1581,1.9455,17.38,168.76,30
6.0,6.0,800.0,400.0,0.5,0.4667,14,16,0.1581,1.9455,17.38,168.76,30
6.0,6.0,800.0,100.0,0.3,0.4667,14,16,0.1583,2.007,17.53,168.76,30
6.0,6.0,800.0,250.0,0.3,0.4667,14,16,0.1583,2.007,17.53,168.76,30
6.0,6.0,800.0,400.0,0.3,0.4667,14,16,0.1583,2.007,17.53,168.76,30
6.0,2.0,150.0,400.0,0.3,0.4667,14,16,0.1667,1.6967,42.04,407.92,30
6.0,2.0,300.0,400.0,0.3,0.4667,14,16,0.1667,1.6967,42.04,407.92,30
6.0,2.0,150.0,400.0,0.5,0.4667,14,16,0.1673,1.5867,42.04,407.92,30
6.0,2.0,300.0,400.0,0.5,0.4667,14,16,0.1673,1.5867,42.04,407.92,30
6.0,4.0,150.0,400.0,0.5,0.4667,14,16,0.1945,1.4618,196.48,339.65,30
6.0,4.0,300.0,400.0,0.5,0.4667,14,16,0.1945,1.4618,196.48,339.65,30
6.0,4.0,150.0,400.0,0.3,0.4667,14,16,0.1949,1.5389,195.82,307.47,30
6.0,4.0,300.0,400.0,0.3,0.4667,14,16,0.1949,1.5389,195.82,307.47,30
8.0,2.0,800.0,100.0,0.5,0.4667,14,16,0.2177,1.9237,24.01,87.06,30
8.0,2.0,800.0,250.0,0.5,0.4667,14,16,0.2177,1.9237,24.01,87.06,30
8.0,2.0,800.0,400.0,0.5,0.4667,14,16,0.2177,1.9237,24.01,87.06,30
8.0,2.0,150.0,400.0,0.5,0.4667,14,16,0.2345,1.3745,24.14,366.48,30
8.0,2.0,300.0,400.0,0.5,0.4667,14,16,0.2345,1.3745,24.14,366.48,30
6.0,2.0,150.0,250.0,1.0,0.4667,14,16,0.2425,1.1379,348.46,387.1,30
8.0,2.0,300.0,100.0,1.0,0.4667,14,16,0.2452,1.0158,48.01,592.38,30
8.0,2.0,300.0,250.0,1.0,0.4667,14,16,0.2452,1.0158,48.01,592.38,30
6.0,6.0,150.0,400.0,0.5,0.4667,14,16,0.2479,1.3839,196.48,445.8,30
6.0,6.0,300.0,400.0,0.5,0.4667,14,16,0.2479,1.3839,196.48,445.8,30
8.0,2.0,150.0,250.0,1.0,0.4667,14,16,0.2872,0.9285,200.68,557.76,30
8.0,4.0,150.0,400.0,0.5,0.4667,14,16,0.2927,1.298,178.58,307.22,30
8.0,4.0,300.0,400.0,0.5,0.4667,14,16,0.2927,1.298,178.58,307.22,30
8.0,8.0,800.0,100.0,0.5,0.4667,14,16,0.2952,1.6666,24.01,255.89,30
8.0,8.0,800.0,250.0,0.5,0.4667,14,16,0.2952,1.6666,24.01,255.89,30
8.0,8.0,800.0,400.0,0.5,0.4667,14,16,0.2952,1.6666,24.01,255.89,30
6.0,8.0,500.0,100.0,0.5,0.4667,14,16,0.298,1.5153,195.67,579.32,30
6.0,8.0,500.0,250.0,0.5,0.4667,14,16,0.298,1.5153,195.67,579.32,30
6.0,8.0,500.0,400.0,0.5,0.4667,14,16,0.298,1.5153,195.67,579.32,30
8.0,2.0,150.0,400.0,0.3,0.4667,14,16,0.3038,1.4032,93.42,366.48,30
8.0,2.0,300.0,400.0,0.3,0.4667,14,16,0.3038,1.4032,93.42,366.48,30
8.0,6.0,500.0,100.0,0.5,0.4667,14,16,0.3199,1.3552,23.34,443.89,30
8.0,6.0,500.0,250.0,0.5,0.4667,14,16,0.3199,1.3552,23.34,443.89,30
