open_margin_db,close_margin_db,peak_open_margin_db,release_ms,hold_ms,pass_rate,passed,failed,mean_missed_speech,mean_false_open,mean_start_delay_ms,mean_early_close_ms,total_scenarios
10.0,7.0,20.0,400.0,200.0,0.4667,14,16,0.5432,1.0545,177.32,419.62,30
12.0,7.0,20.0,400.0,100.0,0.4667,14,16,0.5571,0.9818,177.94,419.62,30
12.0,7.0,20.0,400.0,200.0,0.4667,14,16,0.5571,0.9818,177.94,419.62,30
8.0,3.0,12.0,700.0,100.0,0.4333,13,17,0.1092,2.9505,5.42,153.83,30
8.0,3.0,12.0,700.0,200.0,0.4333,13,17,0.1092,2.9505,5.42,153.83,30
10.0,3.0,12.0,700.0,100.0,0.4333,13,17,0.1092,2.9505,5.42,153.83,30
10.0,3.0,12.0,700.0,200.0,0.4333,13,17,0.1092,2.9505,5.42,153.83,30
12.0,3.0,12.0,700.0,100.0,0.4333,13,17,0.1092,2.9505,5.42,153.83,30
12.0,3.0,12.0,700.0,200.0,0.4333,13,17,0.1092,2.9505,5.42,153.83,30
15.0,3.0,12.0,700.0,100.0,0.4333,13,17,0.1092,2.9505,5.42,153.83,30
15.0,3.0,12.0,700.0,200.0,0.4333,13,17,0.1092,2.9505,5.42,153.83,30
8.0,5.0,12.0,700.0,100.0,0.4333,13,17,0.1208,2.8028,4.75,166.09,30
8.0,5.0,12.0,700.0,200.0,0.4333,13,17,0.1208,2.8028,4.75,166.09,30
10.0,5.0,12.0,700.0,100.0,0.4333,13,17,0.1208,2.8028,4.75,166.09,30
10.0,5.0,12.0,700.0,200.0,0.4333,13,17,0.1208,2.8028,4.75,166.09,30
12.0,5.0,12.0,700.0,100.0,0.4333,13,17,0.1208,2.8028,4.75,166.09,30
12.0,5.0,12.0,700.0,200.0,0.4333,13,17,0.1208,2.8028,4.75,166.09,30
15.0,5.0,12.0,700.0,100.0,0.4333,13,17,0.1208,2.8028,4.75,166.09,30
15.0,5.0,12.0,700.0,200.0,0.4333,13,17,0.1208,2.8028,4.75,166.09,30
8.0,3.0,12.0,400.0,100.0,0.4333,13,17,0.1433,2.48,181.49,299.32,30
8.0,3.0,12.0,400.0,200.0,0.4333,13,17,0.1433,2.48,181.49,299.32,30
10.0,3.0,12.0,400.0,100.0,0.4333,13,17,0.1433,2.48,181.49,299.32,30
10.0,3.0,12.0,400.0,200.0,0.4333,13,17,0.1433,2.48,181.49,299.32,30
12.0,3.0,12.0,400.0,100.0,0.4333,13,17,0.1433,2.48,181.49,299.32,30
