open_margin_db,sustain_margin_db,close_margin_db,release_ms,hold_ms,pass_rate,passed,failed,mean_missed_speech,mean_false_open,mean_start_delay_ms,mean_early_close_ms,total_scenarios
15.0,8.0,2.0,400.0,250.0,0.4667,14,16,1.1303,0.7463,195.0,148.59,30
15.0,8.0,4.0,400.0,150.0,0.4667,14,16,1.1643,0.7229,195.0,182.59,30
15.0,8.0,4.0,400.0,250.0,0.4667,14,16,1.1643,0.7229,195.0,182.59,30
10.0,4.0,1.0,600.0,150.0,0.4333,13,17,0.4367,1.4794,40.73,231.33,30
10.0,4.0,1.0,600.0,250.0,0.4333,13,17,0.4367,1.4794,40.73,231.33,30
10.0,6.0,1.0,600.0,150.0,0.4333,13,17,0.4567,1.4747,40.73,242.66,30
10.0,6.0,1.0,600.0,250.0,0.4333,13,17,0.4567,1.4747,40.73,242.66,30
10.0,4.0,2.0,600.0,150.0,0.4333,13,17,0.5067,1.4714,194.73,130.66,30
10.0,4.0,2.0,600.0,250.0,0.4333,13,17,0.5067,1.4714,194.73,130.66,30
10.0,8.0,1.0,600.0,150.0,0.4333,13,17,0.508,1.402,195.54,137.82,30
10.0,8.0,1.0,600.0,250.0,0.4333,13,17,0.508,1.402,195.54,137.82,30
10.0,6.0,2.0,600.0,150.0,0.4333,13,17,0.5187,1.4661,194.73,142.66,30
10.0,6.0,2.0,600.0,250.0,0.4333,13,17,0.5187,1.4661,194.73,142.66,30
10.0,4.0,4.0,600.0,150.0,0.4333,13,17,0.5455,1.4375,195.54,200.66,30
10.0,4.0,4.0,600.0,250.0,0.4333,13,17,0.5455,1.4375,195.54,200.66,30
10.0,4.0,1.0,400.0,150.0,0.4333,13,17,0.5475,1.2322,349.99,181.82,30
10.0,4.0,1.0,400.0,250.0,0.4333,13,17,0.5475,1.2322,349.99,181.82,30
10.0,4.0,2.0,400.0,150.0,0.4333,13,17,0.5535,1.2182,349.99,185.15,30
10.0,4.0,2.0,400.0,250.0,0.4333,13,17,0.5535,1.2182,349.99,185.15,30
10.0,6.0,1.0,400.0,150.0,0.4333,13,17,0.5769,1.2122,41.54,519.82,30
10.0,6.0,1.0,400.0,250.0,0.4333,13,17,0.5769,1.2122,41.54,519.82,30
10.0,6.0,2.0,400.0,150.0,0.4333,13,17,0.5822,1.1922,195.54,367.82,30
10.0,6.0,2.0,400.0,250.0,0.4333,13,17,0.5822,1.1922,195.54,367.82,30
10.0,8.0,1.0,400.0,150.0,0.4333,13,17,0.586,1.2067,41.54,519.82,30
10.0,8.0,1.0,400.0,250.0,0.4333,13,17,0.586,1.2067,41.54,519.82,30
10.0,6.0,4.0,400.0,150.0,0.4333,13,17,0.6254,1.1534,349.99,244.48,30
