open_margin_db,close_margin_db,release_ms,hold_ms,noise_ema_tc_closed,cutoff_hz,pass_rate,passed,failed,mean_missed_speech,mean_false_open,mean_start_delay_ms,mean_early_close_ms,total_scenarios
6.0,2.0,300.0,250.0,1.0,120.0,0.5333,8,7,0.5908,0.8131,62.91,1649.3,15
6.0,6.0,500.0,100.0,1.0,200.0,0.5333,8,7,0.6138,0.8868,57.31,1493.3,15
6.0,6.0,500.0,250.0,1.0,200.0,0.5333,8,7,0.6138,0.8868,57.31,1493.3,15
6.0,6.0,500.0,100.0,1.0,80.0,0.5333,8,7,0.6152,0.9162,58.64,1493.3,15
6.0,6.0,500.0,100.0,1.0,120.0,0.5333,8,7,0.6152,0.8975,58.64,1493.3,15
6.0,6.0,500.0,250.0,1.0,80.0,0.5333,8,7,0.6152,0.9162,58.64,1493.3,15
6.0,6.0,500.0,250.0,1.0,120.0,0.5333,8,7,0.6152,0.8975,58.64,1493.3,15
8.0,4.0,300.0,100.0,0.3,200.0,0.5333,8,7,0.6271,0.9415,367.87,1105.3,15
8.0,4.0,300.0,250.0,0.3,200.0,0.5333,8,7,0.6271,0.9415,367.87,1105.3,15
8.0,6.0,500.0,100.0,1.0,200.0,0.5333,8,7,0.7098,0.8748,63.97,1493.3,15
8.0,6.0,500.0,250.0,1.0,200.0,0.5333,8,7,0.7098,0.8748,63.97,1493.3,15
8.0,6.0,500.0,100.0,1.0,120.0,0.5333,8,7,0.7112,0.8375,65.31,1493.3,15
8.0,6.0,500.0,250.0,1.0,120.0,0.5333,8,7,0.7112,0.8375,65.31,1493.3,15
8.0,2.0,300.0,100.0,1.0,200.0,0.5333,8,7,0.7135,0.7691,63.97,1649.3,15
8.0,2.0,300.0,250.0,1.0,200.0,0.5333,8,7,0.7135,0.7691,63.97,1649.3,15
8.0,2.0,300.0,100.0,1.0,120.0,0.5333,8,7,0.7148,0.7718,68.25,1649.3,15
8.0,2.0,300.0,250.0,1.0,120.0,0.5333,8,7,0.7148,0.7718,68.25,1649.3,15
10.0,2.0,500.0,100.0,1.0,200.0,0.5333,8,7,0.8389,0.8933,45.29,965.1,15
10.0,2.0,500.0,250.0,1.0,200.0,0.5333,8,7,0.8389,0.8933,45.29,965.1,15
10.0,4.0,500.0,100.0,1.0,200.0,0.5333,8,7,0.8723,0.8346,45.29,969.1,15
10.0,4.0,500.0,250.0,1.0,200.0,0.5333,8,7,0.8723,0.8346,45.29,969.1,15
10.0,2.0,300.0,100.0,1.0,200.0,0.5333,8,7,0.9557,0.6674,45.29,1559.77,15
10.0,2.0,300.0,250.0,1.0,200.0,0.5333,8,7,0.9557,0.6674,45.29,1559.77,15
10.0,6.0,500.0,100.0,1.0,200.0,0.5333,8,7,1.0731,0.7687,45.29,1383.77,15
10.0,6.0,500.0,250.0,1.0,200.0,0.5333,8,7,1.0731,0.7687,45.29,1383.77,15
10.0,4.0,300.0,100.0,0.3,200.0,0.5333,8,7,1.1229,0.7839,606.73,933.1,15
10.0,4.0,300.0,250.0,0.3,200.0,0.5333,8,7,1.1229,0.7839,606.73,933.1,15
10.0,4.0,300.0,100.0,0.3,120.0,0.5333,8,7,1.1256,0.7946,612.34,933.1,15
10.0,4.0,300.0,250.0,0.3,120.0,0.5333,8,7,1.1256,0.7946,612.34,933.1,15
12.0,4.0,300.0,100.0,0.3,200.0,0.5333,8,7,1.8029,0.6626,986.73,931.77,15
12.0,4.0,300.0,250.0,0.3,200.0,0.5333,8,7,1.8029,0.6626,986.73,931.77,15
6.0,2.0,800.0,100.0,0.3,200.0,0.4667,7,8,0.351,1.7,10.49,340.52,15
6.0,2.0,800.0,250.0,0.3,200.0,0.4667,7,8,0.351,1.7,10.49,340.52,15
6.0,2.0,800.0,100.0,0.3,80.0,0.4667,7,8,0.3603,1.6427,10.49,349.85,15
6.0,2.0,800.0,100.0,0.3,120.0,0.4667,7,8,0.3603,1.6853,10.49,349.85,15
6.0,2.0,800.0,250.0,0.3,80.0,0.4667,7,8,0.3603,1.6427,10.49,349.85,15
6.0,2.0,800.0,250.0,0.3,120.0,0.4667,7,8,0.3603,1.6853,10.49,349.85,15
8.0,2.0,800.0,100.0,1.0,200.0,0.4667,7,8,0.368,1.297,18.15,349.85,15
8.0,2.0,800.0,250.0,1.0,200.0,0.4667,7,8,0.368,1.297,18.15,349.85,15
6.0,4.0,800.0,100.0,0.3,200.0,0.4667,7,8,0.3683,1.632,10.49,413.85,15
6.0,4.0,800.0,250.0,0.3,200.0,0.4667,7,8,0.3683,1.632,10.49,413.85,15
6.0,4.0,800.0,100.0,0.3,120.0,0.4667,7,8,0.375,1.6107,10.49,420.52,15
6.0,4.0,800.0,250.0,0.3,120.0,0.4667,7,8,0.375,1.6107,10.49,420.52,15
6.0,4.0,800.0,100.0,0.3,80.0,0.4667,7,8,0.3763,1.6013,10.49,420.52,15
6.0,4.0,800.0,250.0,0.3,80.0,0.4667,7,8,0.3763,1.6013,10.49,420.52,15
8.0,4.0,800.0,100.0,1.0,200.0,0.4667,7,8,0.384,1.2357,18.15,420.52,15
8.0,4.0,800.0,250.0,1.0,200.0,0.4667,7,8,0.384,1.2357,18.15,420.52,15
