open_margin_db,close_margin_db,release_ms,hold_ms,window_sec,percentile,pass_rate,passed,failed,mean_missed_speech,mean_false_open,mean_start_delay_ms,mean_early_close_ms,total_scenarios
8.0,2.0,800.0,250.0,2.0,15.0,0.4,6,9,0.2749,1.9959,13.93,260.99,15
6.0,2.0,500.0,100.0,4.0,15.0,0.4,6,9,0.2763,1.7186,15.27,260.99,15
6.0,2.0,500.0,250.0,4.0,15.0,0.4,6,9,0.2763,1.7186,15.27,260.99,15
6.0,2.0,800.0,100.0,4.0,15.0,0.4,6,9,0.2763,1.9253,15.27,260.99,15
6.0,2.0,800.0,250.0,4.0,15.0,0.4,6,9,0.2763,1.9253,15.27,260.99,15
6.0,4.0,800.0,100.0,2.0,15.0,0.4,6,9,0.2825,1.8301,13.27,269.19,15
6.0,4.0,800.0,250.0,2.0,15.0,0.4,6,9,0.2825,1.8301,13.27,269.19,15
10.0,2.0,500.0,100.0,2.0,15.0,0.4,6,9,0.2829,1.3546,21.93,260.99,15
10.0,2.0,500.0,250.0,2.0,15.0,0.4,6,9,0.2829,1.3546,21.93,260.99,15
10.0,2.0,800.0,100.0,2.0,15.0,0.4,6,9,0.2829,1.8053,21.93,260.99,15
10.0,2.0,800.0,250.0,2.0,15.0,0.4,6,9,0.2829,1.8053,21.93,260.99,15
6.0,2.0,800.0,100.0,4.0,25.0,0.4,6,9,0.283,1.6774,22.03,260.99,15
6.0,2.0,800.0,250.0,4.0,25.0,0.4,6,9,0.283,1.6774,22.03,260.99,15
8.0,2.0,800.0,100.0,2.0,25.0,0.4,6,9,0.2831,1.4708,17.93,265.19,15
8.0,2.0,800.0,250.0,2.0,25.0,0.4,6,9,0.2831,1.4708,17.93,265.19,15
8.0,4.0,800.0,100.0,2.0,15.0,0.4,6,9,0.2831,1.7321,13.93,269.19,15
8.0,4.0,800.0,250.0,2.0,15.0,0.4,6,9,0.2831,1.7321,13.93,269.19,15
10.0,2.0,800.0,100.0,2.0,25.0,0.4,6,9,0.2885,1.4241,23.27,265.19,15
10.0,2.0,800.0,250.0,2.0,25.0,0.4,6,9,0.2885,1.4241,23.27,265.19,15
6.0,2.0,800.0,100.0,4.0,35.0,0.4,6,9,0.2886,1.4536,23.36,265.19,15
6.0,2.0,800.0,250.0,4.0,35.0,0.4,6,9,0.2886,1.4536,23.36,265.19,15
8.0,4.0,800.0,100.0,4.0,15.0,0.4,6,9,0.2898,1.6535,20.6,269.19,15
8.0,4.0,800.0,250.0,4.0,15.0,0.4,6,9,0.2898,1.6535,20.6,269.19,15
10.0,4.0,800.0,100.0,2.0,15.0,0.4,6,9,0.2911,1.5415,21.93,269.19,15
10.0,4.0,800.0,250.0,2.0,15.0,0.4,6,9,0.2911,1.5415,21.93,269.19,15
10.0,4.0,800.0,100.0,4.0,15.0,0.4,6,9,0.2991,1.5815,29.93,269.19,15
10.0,4.0,800.0,250.0,4.0,15.0,0.4,6,9,0.2991,1.5815,29.93,269.19,15
8.0,2.0,500.0,100.0,2.0,25.0,0.4,6,9,0.3108,1.2705,17.93,454.88,15
8.0,2.0,500.0,250.0,2.0,25.0,0.4,6,9,0.3108,1.2705,17.93,454.88,15
10.0,4.0,500.0,100.0,2.0,15.0,0.4,6,9,0.3125,1.2361,21.93,452.52,15
10.0,4.0,500.0,250.0,2.0,15.0,0.4,6,9,0.3125,1.2361,21.93,452.52,15
10.0,2.0,500.0,100.0,2.0,25.0,0.4,6,9,0.3175,1.2238,23.27,454.88,15
10.0,2.0,500.0,250.0,2.0,25.0,0.4,6,9,0.3175,1.2238,23.27,454.88,15
10.0,4.0,800.0,100.0,1.0,15.0,0.4,6,9,0.3383,1.69,14.49,323.86,15
10.0,4.0,800.0,250.0,1.0,15.0,0.4,6,9,0.3383,1.69,14.49,323.86,15
6.0,4.0,800.0,100.0,4.0,25.0,0.4,6,9,0.3392,1.5616,22.03,317.19,15
6.0,4.0,800.0,250.0,4.0,25.0,0.4,6,9,0.3392,1.5616,22.03,317.19,15
8.0,2.0,800.0,100.0,1.0,25.0,0.4,6,9,0.3408,1.8938,14.27,326.53,15
8.0,2.0,800.0,250.0,1.0,25.0,0.4,6,9,0.3408,1.8938,14.27,326.53,15
10.0,2.0,800.0,100.0,1.0,25.0,0.4,6,9,0.3461,1.6711,19.6,326.53,15
10.0,2.0,800.0,250.0,1.0,25.0,0.4,6,9,0.3461,1.6711,19.6,326.53,15
12.0,4.0,800.0,100.0,1.0,15.0,0.4,6,9,0.3461,1.6311,22.27,323.86,15
12.0,4.0,800.0,250.0,1.0,15.0,0.4,6,9,0.3461,1.6311,22.27,323.86,15
6.0,2.0,300.0,100.0,2.0,15.0,0.4,6,9,0.3505,1.4542,13.27,1075.53,15
6.0,2.0,300.0,250.0,2.0,15.0,0.4,6,9,0.3505,1.4542,13.27,1075.53,15
10.0,4.0,800.0,100.0,1.0,25.0,0.4,6,9,0.3515,1.5151,19.6,331.86,15
10.0,4.0,800.0,250.0,1.0,25.0,0.4,6,9,0.3515,1.5151,19.6,331.86,15
6.0,2.0,800.0,100.0,1.0,35.0,0.4,6,9,0.3518,1.7701,14.61,337.19,15
6.0,2.0,800.0,250.0,1.0,35.0,0.4,6,9,0.3518,1.7701,14.61,337.19,15
10.0,6.0,800.0,100.0,2.0,15.0,0.4,6,9,0.3518,1.3568,21.93,329.85,15
10.0,6.0,800.0,250.0,2.0,15.0,0.4,6,9,0.3518,1.3568,21.93,329.85,15
8.0,2.0,300.0,100.0,2.0,15.0,0.4,6,9,0.3525,1.3562,13.93,1075.53,15
8.0,2.0,300.0,250.0,2.0,15.0,0.4,6,9,0.3525,1.3562,13.93,1075.53,15
8.0,4.0,500.0,100.0,4.0,15.0,0.4,6,9,0.3591,1.4948,20.6,500.52,15
8.0,4.0,500.0,250.0,4.0,15.0,0.4,6,9,0.3591,1.4948,20.6,500.52,15
8.0,4.0,500.0,100.0,1.0,15.0,0.4,6,9,0.361,1.6687,54.29,572.15,15
8.0,4.0,500.0,250.0,1.0,15.0,0.4,6,9,0.361,1.6687,54.29,572.15,15
10.0,2.0,800.0,100.0,1.0,35.0,0.4,6,9,0.3618,1.4908,24.6,337.19,15
10.0,2.0,800.0,250.0,1.0,35.0,0.4,6,9,0.3618,1.4908,24.6,337.19,15
8.0,4.0,800.0,100.0,2.0,25.0,0.4,6,9,0.3651,1.3435,17.93,347.19,15
8.0,4.0,800.0,250.0,2.0,25.0,0.4,6,9,0.3651,1.3435,17.93,347.19,15
8.0,6.0,800.0,100.0,4.0,15.0,0.4,6,9,0.3691,1.5821,20.6,348.52,15
8.0,6.0,800.0,250.0,4.0,15.0,0.4,6,9,0.3691,1.5821,20.6,348.52,15
10.0,4.0,500.0,100.0,4.0,15.0,0.4,6,9,0.3698,1.4228,29.93,500.52,15
10.0,4.0,500.0,250.0,4.0,15.0,0.4,6,9,0.3698,1.4228,29.93,500.52,15
10.0,4.0,800.0,100.0,2.0,25.0,0.4,6,9,0.3705,1.2968,23.27,347.19,15
10.0,4.0,800.0,250.0,2.0,25.0,0.4,6,9,0.3705,1.2968,23.27,347.19,15
10.0,6.0,800.0,100.0,1.0,15.0,0.4,6,9,0.3723,1.5613,14.49,357.85,15
10.0,6.0,800.0,250.0,1.0,15.0,0.4,6,9,0.3723,1.5613,14.49,357.85,15
10.0,2.0,500.0,100.0,1.0,25.0,0.4,6,9,0.3728,1.2831,64.73,511.19,15
10.0,2.0,500.0,250.0,1.0,25.0,0.4,6,9,0.3728,1.2831,64.73,511.19,15
6.0,4.0,800.0,100.0,4.0,35.0,0.4,6,9,0.3732,1.3742,23.36,349.85,15
6.0,4.0,800.0,250.0,4.0,35.0,0.4,6,9,0.3732,1.3742,23.36,349.85,15
8.0,2.0,800.0,100.0,2.0,35.0,0.4,6,9,0.3748,1.3412,23.27,351.55,15
8.0,2.0,800.0,250.0,2.0,35.0,0.4,6,9,0.3748,1.3412,23.27,351.55,15
10.0,6.0,800.0,100.0,4.0,15.0,0.4,6,9,0.3785,1.5101,29.93,348.52,15
10.0,6.0,800.0,250.0,4.0,15.0,0.4,6,9,0.3785,1.5101,29.93,348.52,15
12.0,6.0,800.0,100.0,1.0,15.0,0.4,6,9,0.3801,1.5025,22.27,357.85,15
12.0,6.0,800.0,250.0,1.0,15.0,0.4,6,9,0.3801,1.5025,22.27,357.85,15
6.0,6.0,800.0,100.0,4.0,25.0,0.4,6,9,0.3812,1.4755,22.03,359.19,15
6.0,6.0,800.0,250.0,4.0,25.0,0.4,6,9,0.3812,1.4755,22.03,359.19,15
6.0,6.0,800.0,100.0,1.0,25.0,0.4,6,9,0.3895,1.7225,12.93,446.22,15
6.0,6.0,800.0,250.0,1.0,25.0,0.4,6,9,0.3895,1.7225,12.93,446.22,15
8.0,4.0,800.0,100.0,2.0,35.0,0.4,6,9,0.3981,1.1871,23.27,374.88,15
8.0,4.0,800.0,250.0,2.0,35.0,0.4,6,9,0.3981,1.1871,23.27,374.88,15
6.0,6.0,800.0,100.0,2.0,25.0,0.4,6,9,0.4261,1.3831,15.27,442.65,15
6.0,6.0,800.0,250.0,2.0,25.0,0.4,6,9,0.4261,1.3831,15.27,442.65,15
8.0,6.0,800.0,100.0,1.0,25.0,0.4,6,9,0.4341,1.5258,14.27,446.22,15
8.0,6.0,800.0,250.0,1.0,25.0,0.4,6,9,0.4341,1.5258,14.27,446.22,15
